Average Precol GPA,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
3.34,3.8165,157.3401,154.9181
3.35,3.8165,157.3401,154.9181
3.36333,3.8165,157.3401,154.9181
3.365,3.8165,157.3401,154.9181
3.37,3.8165,157.3401,154.9181
3.37,3.8165,157.3401,154.9181
3.37,3.8165,157.3401,154.9181
3.37,3.8165,157.3401,154.9181
3.378,3.8165,157.3401,154.9181
3.38,3.8165,157.3401,154.9181
3.38333,3.8165,157.3401,154.9181
3.39,3.8165,157.3401,154.9181
3.39,3.8165,157.3401,154.9181
3.39,3.8165,157.3401,154.9181
3.39,3.8165,157.3401,154.9181
3.39,3.8165,157.3401,154.9181
3.39,3.8165,157.3401,154.9181
3.392,3.8165,157.3401,154.9181
3.395,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.4,3.8165,157.3401,154.9181
3.41,3.8165,157.3401,154.9181
3.41,3.8165,157.3401,154.9181
3.41333,3.8165,157.3401,154.9181
3.42,3.8165,157.3401,154.9181
3.42,3.8165,157.3401,154.9181
3.42,3.8165,157.3401,154.9181
3.425,3.8165,157.3401,154.9181
3.42667,3.8165,157.3401,154.9181
3.43,3.8165,157.3401,154.9181
3.43,3.8165,157.3401,154.9181
3.43,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45,3.8165,157.3401,154.9181
3.45333,3.8165,157.3401,154.9181
3.455,3.8165,157.3401,154.9181
3.46,3.8165,157.3401,154.9181
3.4625,3.8165,157.3401,154.9181
3.47,3.8165,157.3401,154.9181
3.47,3.8165,157.3401,154.9181
3.47,3.8165,157.3401,154.9181
3.47,3.8165,157.3401,154.9181
3.48,3.8165,157.3401,154.9181
3.48,3.8165,157.3401,154.9181
3.48,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
